id,source_name,title,author_name,publish_date,accident_date,content,tags,day_of_the_week,time,time_in_hours,rush_hour,weekend_weekday,locality,road_name,road_type,vehicle_count,vehicle_involved,male_count,female_count,total_driver_count,min_age,max_age,young_driver_involved,adult_driver_involved,senior_driver_involved,child_involved,senior_involved,visibility,wind_speed,temperature,severity,ambulance_called,additional_source_name,additional_url
1,police,Collision between a car and a motorbike in Żurrieq,,09/10/2025,09/10/2025,"Today, at around 0930hrs, the Police were informed of a traffic accident on Triq il-Belt Valletta, Żurrieq.The Police immediately went to the scene and from a preliminary investigation it resulted that a collision had occurred between a Toyota Aqua driven by a 67-year-old woman resident of Żurrieq and a Piaggio Beverly motorbike driven by a 61-year-old man from Mqabba.A medical team was called to the scene and an ambulance took the motorbike driver to Mater Dei Hospital, where he was certified to be seriously injured.Magistrate Dr Monica Borg Galea LL.D was informed and appointed an inquiry while Police investigations are still ongoing.",{},Thursday,morning,930,0,weekday,Zurrieq,Triq il-Belt Valletta,residential,2.0,car-motorcycle,1.0,1.0,2.0,61.0,67.0,0.0,0.0,1.0,0.0,1.0,10.0,3.7,23.0,high,1.0,Weatherspark,https://weatherspark.com
2,police,Car-motorcycle traffic accident,,19/06/2025,18/06/2025,"Yesterday, at around 1830hrs, the Police were informed of a traffic accident in Triq Dawret il-Gudja, Gudja.Preliminary investigations showed that a collision occurred between a Honda fit that was being driven by a 64-year-old man from Santa Luċija and a Kawasaki Ninja motorcycle that was being driven by a 23-year-old man from Gudja.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",{},Wednesday,evening,1830,0,weekday,Gudja,Triq Dawret il-Gudja,bypass,2.0,car-motorcycle,2.0,0.0,2.0,23.0,61.0,1.0,0.0,1.0,0.0,1.0,10.0,11.1,26.0,high,1.0,,
3,police,Car-motorcycle collision in Ħal Qormi,,12/05/2025,12/05/2025,"Today, at around 0800hrs, the Police were informed of a traffic accident in Valley Road, Qormi.Preliminary investigations showed that a collision occurred between a Ford Transit driven by a 34-year-old man residing in Żebbuġ and a Honda motorcycle driven by a 29-year-old man who lives in Qormi.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",{},Monday,morning,800,1,weekday,Qormi,Valley Road,main road,2.0,van-motorcycle,2.0,0.0,2.0,29.0,34.0,0.0,1.0,0.0,0.0,0.0,10.0,27.8,20.0,high,1.0,,
4,police,Collision between motorcycle and car in Għaxaq,,30/07/2025,29/07/2025,"Yesterday, at around 1800hrs, the Police were informed of a traffic accident in Triq Dawret Ħal Għaxaq, Għaxaq.Preliminary investigations by the Police found that there was a collision between a Volvo XC60 that was being driven by a 42-year-old man from Għaxaq and a Malaguti Madison motorcycle that was being driven by a 29-year-old Brazilian man from Zurrieq.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital for treatment where he was later certified to have sustained grievous injuries.Police investigations are ongoing.",{},Tuesday,evening,1800,1,weekday,Hal Ghaxaq,Triq Dawret Hal Ghaxaq,main road,2.0,car-motorcycle,2.0,0.0,2.0,29.0,42.0,0.0,1.0,0.0,0.0,0.0,10.0,38.9,26.0,high,1.0,,
5,police,Car-motorcycle collision,,07/04/2025,06/04/2025,"Yesterday, at around quarter to nine in the evening (2045hrs), the Police were informed of a traffic accident in Triq il-Buqana, Rabat.Preliminary investigations showed that a collision occurred between a Kia Avella driven by a 25-year-old man from Santa Luċija and a Kymco Agility motorcycle driven by a 41-year-old man from Birkirkara.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",{},Sunday,evening,2045,0,weekend,Rabat,Triq il-Buqana,bypass,2.0,car-motorcycle,2.0,0.0,2.0,25.0,41.0,0.0,1.0,0.0,0.0,0.0,10.0,18.5,15.0,high,1.0,,
6,police,Traffic accident in Marsa,,16/04/2025,15/04/2025,"Yesterday, at around ten minutes to nine in the morning (0850 hrs), the Police were informed of a traffic accident in Triq Aldo Moro, Marsa.Preliminary investigations by the District Police found that a collision occurred between a Yamaha motorcycle driven by a 36-year-old man from Cospicua, an Isuzu Elf van driven by a 52-year-old man from Fgura and a Hyundai Kona driven by a 53-year-old man from Żabbar.A medical team was called on site to assist and an ambulance took the motorcyclist to Mater Dei Hospital for treatment. He was later certified to have sustained grievous injuries.Police investigations in connection with this incident are ongoing.",{},Tuesday,morning,850,0,weekday,Marsa,Triq Aldo Moro,bypass,3.0,car-motorcycle,3.0,0.0,3.0,36.0,53.0,0.0,1.0,0.0,0.0,0.0,10.0,37.0,19.0,high,1.0,,
7,police,Van-car collision in Lija,,23/07/2025,23/07/2025,"Today, at around 1030hrs, the Police were informed of a traffic accident in Mosta Road, Lija.The Police immediately went to the scene and from a preliminary investigation it resulted that a collision had occurred between a Renault Trafic van driven by a 24-year-old man residing in Mtarfa and a Suzuki Swift driven by an 81-year-old man residing in Mosta. In the Suzuki, there was also a 79-year-old woman who lives in Mosta.Members of the Civil Protection Department were called to the scene, as well as a medical team, and ambulances took all the people to Mater Dei Hospital to be given the necessary treatment.Unfortunately, the woman was certified dead a short time later while the other elderly man is in a serious condition. The other man was certified with slight injuries.Magistrate Dr Ian Farrugia LL.D was informed of the case and appointed an inquiry while Police investigations are ongoing.",{},Wednesday,morning,1030,0,weekday,Lija,Mosta Road,main road,2.0,van-car,2.0,1.0,2.0,24.0,81.0,1.0,0.0,1.0,0.0,1.0,10.0,9.26,31.0,fatal,1.0,,
8,police,Zejtun traffic accident,,03/08/2025,03/08/2025,"This morning, at around 0815 hrs, the Police were informed of a traffic accident in Triq tal-Barrani, Żejtun.Preliminary investigations showed that a collision occurred between a Peugeot Tweet driven by a 66-year-old man from Zabbar and a Kawazaki motorcycle driven by a 30-year-old woman who lives in Marsaxlokk.A medical team was called on site and an ambulance took both drivers to Mater Dei Hospital for treatment. The man was later certified as suffering from serious injuries while the woman was certified as suffering from grievous injuries.Police investigations are ongoing.",{},Sunday,morning,815,0,weekend,Zejtun,Triq tal-Barrani,bypass,2.0,motorcycle-motorcycle,1.0,1.0,2.0,30.0,66.0,0.0,1.0,1.0,0.0,1.0,10.0,5.56,26.0,high,1.0,,
9,police,Motorcyclist injured in traffic accident,,14/06/2025,11/06/2025,"On wednesday the 11th of June, at around four in the afternoon (1545 hrs), the Police were informed of a traffic accident in John Adye Street, Naxxar.Preliminary investigations showed that a collision occurred between a Honda motorcycle driven by a 35-year-old man from Bosnia and Herzegovina and a resident of Għargħur and an Isuzu Rodeo driven by a 59-year-old man from Marsa.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei where he was later certified to have sustained grievous injuries.Police investigations are ongoing.",{},Wednesday,afternoon,1545,0,weekday,Naxxar,John Ayde Street,roundabout,2.0,car-motorcycle,2.0,0.0,2.0,35.0,59.0,0.0,1.0,0.0,0.0,0.0,10.0,11.1,29.0,high,1.0,,
10,police,Number of persons hospitalised following Żabbar accident,,28/12/2024,28/12/2024,"Today, at around quarter past nine in the morning (0915 hrs), assistance was requested in St James Square, Zabbar after a vehicle hit a number of people.The Police went immediately on site together with a number of ambulances and members of the Civil Protection Department.It resulted from initial investigations that a 79-year-old man, from Zabbar, lost control of the vehicle he was driving and accidentally hit some persons. He was taken to Mater Dei Hospital for observation, but it was later confirmed that he was not injured.Four women, aged 39, 66, 77 and 84, and two men aged 36 and 81, all residing in Zabbar, were taken to Mater Dei Hospital by ambulances. The 84-year-old woman was later certified as suffering from grievous injuries and the others were certified as suffering from slight injuries. Three other persons were treated at the scene of the accident.Police investigations in connection with this incident are ongoing.",{},Saturday,morning,915,0,weekend,Zabbar,St James Square,main road,1.0,car-pedestrian,1.0,2.5,1.0,39.0,84.0,0.0,1.0,0.0,0.0,1.0,10.0,9.26,15.0,high,1.0,,
